STATUS,DATA SOLICITAÇÃO,PAÍS DE ORIGEM,GÊNERO,ANO DE NASCIMENTO,CIDADE SOLICITAÇÃO,DATA DA  DECISÃO,SIGLA
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,CHINA,M,1976.0,SÃO PAULO,2018-06-29,CN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,ANGOLA,M,1983.0,SÃO PAULO,2018-06-29,AO
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1990.0,SÃO PAULO,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1973.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,CHINA,M,1982.0,BOA VISTA,2018-06-29,CN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,CHINA,F,1971.0,SÃO PAULO,2018-06-29,CN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1984.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1991.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,2003.0,NATAL,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,NIGÉRIA,M,1974.0,SÃO PAULO,2018-06-29,NG
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1989.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,2007.0,FORTALEZA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1987.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,2002.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1992.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1988.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1993.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1987.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1991.0,MANAUS,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,2010.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,2016.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1978.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,2002.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1990.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,PAQUISTÃO,M,1987.0,MARINGÁ,2018-06-29,PK
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,GANA,M,1979.0,CRICIÚMA,2018-06-29,GH
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2003,REP. DEM. DO CONGO,M,1965.0,BRASÍLIA,2018-06-29,CD
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1978.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1995.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1986.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1995.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,2013.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,LÍBANO,F,1991.0,SÃO PAULO,2018-06-29,LB
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1982.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1986.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2010,BANGLADESH,F,1986.0,SÃO PAULO,2018-06-29,BD
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1992.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1990.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1985.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1993.0,SÃO PAULO,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1990.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1989.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1997.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1979.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1974.0,SÃO PAULO,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1992.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1974.0,SÃO PAULO,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1975.0,BOA VISTA,2018-06-29,VE
