STATUS,DATA SOLICITAÇÃO,PAÍS DE ORIGEM,GÊNERO,ANO DE NASCIMENTO,CIDADE SOLICITAÇÃO,DATA DA  DECISÃO,SIGLA
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1995.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,CHINA,M,1977.0,SÃO PAULO,2018-06-29,CN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1989.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,HAITI,F,1988.0,SÃO PAULO,2018-06-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,M,1995.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,2003.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,2002.0,MANAUS,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1991.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,SENEGAL,M,1986.0,RIO BRANCO,2018-06-29,SN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,SENEGAL,M,1995.0,GUAÍRA,2018-06-29,SN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,SENEGAL,M,1996.0,SÃO PAULO,2018-06-29,SN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,SENEGAL,M,1995.0,RIO BRANCO,2018-06-29,SN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,SENEGAL,M,1989.0,PELOTAS,2018-06-29,SN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,SENEGAL,M,1987.0,RIO BRANCO,2018-06-29,SN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2015,SENEGAL,M,1988.0,RIO BRANCO,2018-06-29,SN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,SENEGAL,M,1996.0,RIO BRANCO,2018-06-29,SN
