STATUS;DATA SOLICITAÇÃO;PAÍS DE ORIGEM;GÊNERO;ANO DE NASCIMENTO;CIDADE SOLICITAÇÃO;DATA DA  DECISÃO
ELIGIBILIDADE - DEFERIDO;2016;SÍRIA;M;2010;JUÍZ DE FORA;27/07/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1994;SÃO PAULO;30/10/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2015;ANGOLA;F;1975;SÃO PAULO;30/10/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;SÍRIA;F;1947;BRASÍLIA;30/10/2018
CESSAÇÃO;2014;REP. DEM. DO CONGO;M;2012;RIO DE JANEIRO;30/10/2018
ELIGIBILIDADE - DEFERIDO;2017;PALESTINA;M;1995;SÃO PAULO;29/11/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;ANGOLA;M;2001;BRASÍLIA;29/11/2018
ELIGIBILIDADE - INDEFERIDO;2015;SENEGAL;M;1973;RIO BRANCO;29/11/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;HAITI;F;1975;SÃO JOSÉ DO RIO PRETO;29/11/2018
ELIGIBILIDADE - INDEFERIDO;2014;LÍBANO;M;1988;SÃO PAULO;20/12/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2014;CABO VERDE;M;1975;SÃO PAULO;20/12/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;AFEGANISTÃO;M;1981;BRASÍLIA;20/12/2018
ELIGIBILIDADE - INDEFERIDO;2014;SENEGAL;M;1989;RIO BRANCO;28/09/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1958;SÃO PAULO;28/09/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;NEPAL;F;1992;SÃO PAULO;28/09/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - INDEFERIDO;2018;REP.DOMINICANA;M;2003;SÃO PAULO;28/09/2018
PERDA DA CONDIÇÃO DE REFUGIADO;2015;SÍRIA;M;1990;SÃO PAULO;28/09/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2015;HAITI;F;1984;BRASILÉIA;28/09/2018
ELIGIBILIDADE - INDEFERIDO;2016;BANGLADESH;M;1974;SÃO PAULO;25/05/2018
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ;2017;VENEZUELA;M;2013;BOA VISTA;29/06/2018
ELIGIBILIDADE - DEFERIDO;2015;EGITO;M;1991;SÃO PAULO;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;GÂMBIA;M;1990;SÃO PAULO;26/01/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;CUBA;F;1997;VITÓRIA;25/05/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;F;1999;BRASÍLIA;30/03/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;REP. DEM. DO CONGO;M;2008;BRASÍLIA;29/06/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2016;REP. DEM. DO CONGO;M;1997;RIO DE JANEIRO;25/05/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2015;SÍRIA;M;1995;SÃO PAULO;26/01/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2016;GANA;M;1995;SÃO PAULO;21/02/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;REP. DEM. DO CONGO;F;2003;SÃO PAULO;27/04/2018
CESSAÇÃO;2018;ARGENTINA;F;1969;BRASÍLIA;25/05/2018
ELIGIBILIDADE - INDEFERIDO;2014;LÍBANO;M;1972;SÃO PAULO;29/06/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2015;LÍBANO;M;1989;FOZ DO IGUAÇU;27/04/2018
ELIGIBILIDADE - INDEFERIDO;2013;SENEGAL;M;1969;SÃO PAULO;27/04/2018
ELIGIBILIDADE - DEFERIDO;2015;AFEGANISTÃO;M;1991;BRASÍLIA;25/05/2018
ELIGIBILIDADE - INDEFERIDO;2015;BANGLADESH;M;1984;LONDRINA;21/02/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;M;1986;SÃO PAULO;30/03/2018
ELIGIBILIDADE - DEFERIDO;2014;PAQUISTÃO;M;1983;SÃO PAULO;21/02/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1976;SÃO PAULO;27/04/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;CHINA;M;1990;SÃO PAULO;29/06/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1995;SÃO PAULO;26/01/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1991;SÃO PAULO;30/03/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;F;1993;SÃO PAULO;27/07/2018
ELIGIBILIDADE - INDEFERIDO;2016;ANGOLA;F;1978;SÃO PAULO;27/07/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;F;1978;BRASÍLIA;27/07/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;CUBA;M;1985;SÃO PAULO;27/07/2018
ELIGIBILIDADE - DEFERIDO;2015;LITUÂNIA;M;1971;SÃO PAULO;27/07/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1994;SÃO PAULO;30/10/2018
